year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
2003,Confirmed,Kaveh Golestan,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kaveh_golestan_iraq_2003.jpg,,Journalist,,Crossfire,Killed,Freelance,freelance,Camera Operator,War,Television,IRQ,Kifri,,,Kifri,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2015,Confirmed,Kenji Goto,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Kenji-Goto200.jpg,Getty,Journalist,,Murder,Killed,Freelance,Freelance,"Camera Operator,Photographer,Internet Reporter","Culture,Human Rights,Politics,War","Television,Internet",SYR,Unknown,,,Unknown,,Foreign,Political Group,Confirmed,,,Complete Impunity,Yes,Yes,No,,,,,,,,,
2007,Confirmed,Kenji Nagai,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kenji_nagai_burma_2007.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,APF News,"Camera Operator,Photographer","Human Rights,Politics","Print,Television",MMR,Rangoon,,,Rangoon,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2001,Confirmed,Kerem Lawton,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kerem_lawton_yugoslavia_2001.jpg,,Journalist,,Crossfire,Killed,Staff,Associated Press Television News,Producer,War,Television,YUG,"Krivenik, Kosovo",,,"Krivenik, Kosovo",,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2007,Confirmed,Khalid W. Hassan,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/nyt.hassan12.jpg,New York Times,Journalist,,Murder,Killed,Staff,The New York Times,Print Reporter,War,Print,IRQ,Baghdad,,,Baghdad,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2017,Confirmed,Kim Wall,,Sweden,,,Female,https://cpj-photos.s3.amazonaws.com/Kim%20Wall-1-2017-08-30-1504125125586.jpg,Tom Wall,Journalist,Killed,Dangerous Assignment,Killed,Freelance,Freelance,Print Reporter,"Culture,Human Rights,Politics",Print,DNK,Copenhagen,,,Copenhagen,,Foreign,Local Residents,Confirmed,,Yes,,,,,,,,,,,,,
2018,Confirmed,Kirill Radchenko,,RUS,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/AP_KirillRadchenko_killed.jpg_5f6acad3-9b4c-4e31-806c-226c30522134.jpeg,Vasily Maximov/AFP,Journalist,Killed,Dangerous Assignment,Killed,Freelance,The Investigations Management Centre (TsUR),Camera Operator,"Human Rights,Business,Corruption,Crime,War,Politics",Television,CAF,Kémo,,,,Kémo,Foreign,"Criminal Group,Local Residents,Military Officials,Paramilitary Group,Political Group",Confirmed,,No,,,,,,,,,,,,,
2004,Confirmed,Kotaro Ogawa,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,freelance,Print Reporter,War,Print,IRQ,an area near Mahmoudiya ,,,an area near Mahmoudiya ,,Foreign,Political Group,Confirmed,,,,,,,,,,,,,,,
2000,Confirmed,Kurt Schork,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/kurt_schork_sierra-leone_2000.jpg,Reuters,Journalist,,Crossfire,Killed,Staff,Reuters,Print Reporter,War,Print,SLE,Rogberi Junction,,,Rogberi Junction,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Leyla Yildizhan (Deniz Firat),,,,,Female,,,Journalist,,Crossfire,Killed,Freelance,Firat News Agency,Broadcast Reporter,"Human Rights,Politics,War","Television,Internet",IRQ,Makhmur District,,,Makhmur District,,Foreign,"Military Officials, Political Group",Confirmed,,,,,,,,,,,,,,,
1994,Confirmed,Lissy Schmidt,,,,,Female,,,Journalist,,Murder,Killed,Freelance,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel",Print Reporter,War,Print,IRQ,Sulaymaniyah,,,Sulaymaniyah,,Foreign,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2011,Confirmed,Lucas Mebrouk Dolega,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/Dolega.Tunisia1.jpg,Reuters,Journalist,,Dangerous Assignment,Killed,Staff,European Pressphoto Agency,Photographer,Politics,"Print,Internet",TUN,Tunis,,,Tunis,,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
2014,Confirmed,Luke Somers,,,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,"Photographer,Editor","Culture,Human Rights,Politics","Print,Internet",YEM,Shabwa province,,,Shabwa province,Shabwa province,Foreign,Political Group,Confirmed,,,Partial Impunity,No,Yes,No,,,,,,,,,
1998,Confirmed,Mahmoud Saremi,,,,,Male,,,Journalist,,Murder,Killed,Staff,Iranian News Agency (IRNA),Editor,Politics,Print,AFG,Mazar-i-Sharif,,,Mazar-i-Sharif,,Foreign,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,
2001,Confirmed,Marc Brunereau,,,,,Male,,,Journalist,,Crossfire,Killed,Freelance,freelance,Print Reporter,War,Print,AFG,"Taloqan/Tashkent, Uzbekistan",,,"Taloqan/Tashkent, Uzbekistan",,Foreign,Military Officials,Confirmed,,,,,,,,,,,,,,,
1995,Confirmed,Marcello Palmisano,,,,,Male,,,Journalist,,Murder,Killed,Staff,RAI,Camera Operator,War,Television,SOM,Mogadishu,,,Mogadishu,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
1994,Confirmed,Marco Luchetta,,,,,Male,,,Journalist,,Crossfire,Killed,Staff,RAI-TV,Broadcast Reporter,War,Television,BIH,Mostar,,,Mostar,,Foreign,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,
2001,Confirmed,Maria Grazia Cutuli,,,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/maria_grazia_cutuli_afghanistan_2001.jpg,,Journalist,,Murder,Killed,Staff,Corriere della Serra,Print Reporter,War,Print,AFG,Nangarhar Province,,,Nangarhar Province,Nangarhar Province,Foreign,Paramilitary Group,Confirmed,,,Full Justice,No,Yes,No,,,,,,,,,
2012,Confirmed,Marie Colvin,,USA,,,Female,https://cpj-photos.s3-us-west-2.amazonaws.com/Colvin.afp.jpg,AFP,Journalist,,Murder,Killed,Staff,The Sunday Times,Print Reporter,"Human Rights,War",Print,SYR,Homs,,,Homs,,Foreign,Military Officials,Confirmed,No,,Complete Impunity,No,No,No,,,,,,,,,
2006,Confirmed,Martin Adler,,,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/martin_adler_somalia_2006.jpg,AP,Journalist,,Murder,Killed,Freelance,freelance,Photographer,"Human Rights,Politics",Print,SOM,Mogadishu,,,Mogadishu,,Foreign,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
2001,Confirmed,Martin O'Hagan,,,,,Male,,,Journalist,,Murder,Killed,Staff,Sunday World,Print Reporter,"Corruption,Crime,War",Print,GBR,"Lurgan, Northern Ireland",,,"Lurgan, Northern Ireland",,Foreign,Paramilitary Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
